Disease,Description,Treatment,Duration,Prevention
Apple___Apple_scab,Fungal disease causing leaf spots and fruit blemishes.,Apply fungicides like Captan or Mancozeb. Remove fallen leaves and prune infected branches.,7-14 days with treatment,"Avoid overhead watering, remove fallen leaves, prune regularly"
Apple___Black_rot,Fungal infection that causes rotting in apples and leaves.,Use fungicides like Thiophanate-methyl. Prune infected parts and remove mummified fruits.,2-3 weeks,"Remove and destroy infected fruits, sanitize pruning tools"
Apple___Cedar_apple_rust,Rust fungus requiring both apple and cedar hosts.,Apply myclobutanil or other fungicides during early growth. Remove nearby cedar trees if possible.,2-3 weeks,Avoid planting apple trees near cedar trees
Corn_(maize)___Cercospora_leaf_spot_Gray_leaf_spot,Gray spots on leaves caused by Cercospora fungus.,Use resistant hybrids. Apply fungicides like strobilurins during early symptoms.,10-14 days,Practice crop rotation and use resistant hybrids
Corn_(maize)___Common_rust_,Rusty pustules on corn leaves caused by Puccinia fungus.,Use resistant varieties. Apply fungicides like Difenoconazole if severe.,1-2 weeks,"Avoid high humidity, plant resistant varieties"
Grape___Black_rot,"Fungal disease affecting grape leaves, stems, and fruits.",Use fungicides like Mancozeb. Prune infected vines and ensure good air circulation.,2 weeks,"Ensure proper spacing and pruning, remove mummified berries"
Potato___Early_blight,Fungal disease causing concentric spots on leaves.,Apply chlorothalonil or mancozeb. Rotate crops and remove debris.,7-10 days,"Rotate crops, use certified seed potatoes"
Potato___Late_blight,Serious disease causing leaf and tuber decay.,Use fungicides like Metalaxyl. Destroy infected plants and avoid overhead watering.,"Rapid spread, full control may take weeks","Avoid overhead watering, destroy infected plants promptly"
Tomato___Bacterial_spot,Bacterial disease causing spots on leaves and fruits.,Use copper-based bactericides. Remove infected leaves and avoid wet foliage.,7-10 days,"Avoid working with wet plants, use pathogen-free seeds"
Tomato___Early_blight,Fungal disease causing brown leaf spots.,Apply fungicides like Azoxystrobin. Rotate crops and use resistant varieties.,10-14 days,"Mulch base, rotate crops, water at soil level"
Tomato___Late_blight,Devastating fungal disease leading to plant collapse.,Use fungicides like chlorothalonil. Remove infected plants and control humidity.,Can kill plant within days,"Remove infected plants, avoid overhead watering"
Tomato___Leaf_Mold,Fungal infection forming mold under tomato leaves.,Ensure good ventilation. Apply fungicides like mancozeb or copper sprays.,10-14 days,"Improve air circulation, avoid wet foliage"
Tomato___Septoria_leaf_spot,Fungal leaf spot disease.,Use fungicides like chlorothalonil. Remove infected leaves and avoid wetting foliage.,1-2 weeks,"Remove lower infected leaves, water early in the day"
Tomato___Target_Spot,Fungal infection with concentric ring spots.,Apply Difenoconazole-based fungicides. Improve field hygiene and airflow.,1-2 weeks,"Keep foliage dry, maintain plant spacing"
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Viral disease spread by whiteflies, causing curled leaves and stunted growth.",Control whiteflies using neem oil or insecticides. Use resistant varieties.,No cure; plant remains stunted,"Use netting to block whiteflies, control weed hosts"
Tomato___Tomato_mosaic_virus,Viral infection causing mottling and deformation.,Remove infected plants. Disinfect tools and avoid tobacco use near plants.,No cure; remove affected plants,"Disinfect tools, avoid handling after using tobacco"
Tomato___Spider_mites Two-spotted_spider_mite,Pest infestation causing webbing and yellowing.,Use miticides or neem oil. Wash off mites and maintain humidity.,7-10 days with treatment,"Increase humidity, wash plants periodically"
